priority,category,status,control,source_rows,evidence
P0,altro,passed,Verificare eliminazione di tutti i file collegati.,globale:T-0418,"extended-p0-media-delete: JPEG, MP3 e MP4 collegati al post tutti rimossi"
P0,altro,passed,Verificare eliminazione su tutti i dispositivi.,globale:T-0419,extended-p0-sync-delete: eliminazione propagata e verificata su tre viste separate
P0,altro,pending,Verificare incremento della versione per eliminazione.,globale:T-1033,
P0,altro,pending,Verificare log di eliminazione.,globale:T-1004,
P0,altro,pending,Verificare se i metadati vengono conservati o eliminati.,globale:T-1439,
P0,documenti,pending,"Aggiornare README e documentazione, ancora riferiti a versioni precedenti.",globale:T-0001,
P0,documenti,passed,apertura documento altrui;,globale:T-0724,extended-p0-documents: media privata negata ad altro viaggiatore
P0,documenti,passed,apertura documento proprio;,globale:T-0725,extended-p0-documents: proprietario apre il PDF
P0,documenti,passed,Aprire documenti.,usabilita:U0071,ui-documents QA mobile: apertura ripetuta di 10 PDF reali con rendering canvas verificato
P0,documenti,passed,Aprire documento.,globale:T-0475,ui-documents QA mobile: visualizzatore PDF aperto e contenuto renderizzato
P0,documenti,passed,Aprire lo stesso documento da due dispositivi.,globale:T-0988,document-concurrency 18/18: proprietario e coordinatore aprono simultaneamente lo stesso PDF
P0,documenti,passed,Aprire ogni documento.,usabilita:U0451,ui-documents QA mobile: ciascuno dei 10 PDF caricati viene aperto e verificato
P0,documenti,pending,area documenti;,addendum:A0119,
P0,documenti,passed,"B carica documento, Coordinatore vede aggiornamento.",usabilita:U0559,ui-documents QA: viaggiatore carica Visto e Biglietti; dashboard coordinatore passa live 1/4→3/4
P0,documenti,pending,Bacheca → profilo → documenti → indietro.,globale:T-1411,
P0,documenti,pending,Calcolare spazio necessario per documenti.,globale:T-1531,
P0,documenti,passed,Caricamento documenti.,globale:T-1207,ui-documents QA mobile: upload PDF reali con risposta 200 e stato Presente
P0,documenti,pending,caricamento documento altrui;,globale:T-0728,
P0,documenti,passed,caricamento documento proprio;,globale:T-0729,ui-documents QA ed extended-p0-documents: proprietario carica nel proprio profilo
P0,documenti,passed,caricamento documento;,usabilita:U0547,ui-documents QA: caricamenti PDF reali ripetuti e verificati lato UI/API
P0,documenti,passed,Caricare documento dal telefono del Viaggiatore.,usabilita:U0447,Playwright su due Galaxy separati: caricamento eseguito dal dispositivo viaggiatore; preview c90ec547; 2026-08-04
P0,documenti,passed,Caricare passaporto.,globale:T-0478;usabilita:U0416,Playwright su due Galaxy: PDF reale caricato dal viaggiatore con risposta server 200; preview c90ec547; 2026-08-04
P0,documenti,passed,Caricare quattro documenti dal telefono B.,globale:T-0695,"document-concurrency 18/18: sessione mobile isolata carica Passaporto, Visto, Biglietti e Assicurazione"
P0,documenti,pending,Caricare una fotografia del passaporto verticale.,globale:T-0995,
P0,documenti,passed,Confrontare numero di documenti.,globale:T-1160,document-concurrency 18/18: stato privato contiene esattamente quattro slot dopo quattro upload
P0,documenti,pending,"Consegnare uno ZIP pulito contenente sorgenti, configurazioni, migrazioni e documentazione.",globale:T-0004,
P0,documenti,passed,Controllo documenti del gruppo.,globale:T-1212,ui-documents QA: dashboard coordinatore mostra lo stato documentale del viaggiatore
P0,documenti,passed,Dashboard documenti.,usabilita:U0658,ui-documents QA: dashboard coordinatore visibile e aggiornata senza refresh
P0,documenti,pending,Deep link del documento.,globale:T-0241,
P0,documenti,pending,Definire per quanto tempo vengono conservati i documenti.,globale:T-1343,
P0,documenti,passed,Descrizione dello stato dei documenti.,globale:T-1065,"ui-documents QA: stati Non ancora caricato, Presente e conteggi 0/4–3/4 verificati"
P0,documenti,passed,deve nascondere immediatamente documenti e posizioni;,addendum:A0279,"ui-coordinator-grid touch ripetuto due volte: nel contesto Pubblico sono assenti Documenti, Condividi posizione e Cancella posizione; /api/private risponde 401"
P0,documenti,pending,Documentare e applicare una regola unica.,globale:T-0700,
P0,documenti,pending,Documentare procedura e tempo di rollback.,globale:T-1172,
P0,documenti,passed,Documentare tempo necessario al ripristino.,globale:T-1165,verify-d1-backup: tempo di ripristino misurato automaticamente
P0,documenti,pending,documentato come funzione non completata.,addendum:A0197,
P0,documenti,pending,documenti essenziali disponibili;,globale:T-1753,
P0,documenti,passed,Documenti propri.,usabilita:U0645,extended-p0-documents: il proprietario vede i propri documenti; altro viaggiatore no
P0,documenti,pending,documenti;,addendum:A0075,
P0,documenti,passed,Documento → visualizzatore → indietro.,globale:T-1412,"ui-documents QA mobile: Apri, rendering PDF, Chiudi documento e ritorno alla scheda"
P0,documenti,passed,documento aperto;,globale:T-1560,ui-documents QA mobile: overlay visibile e canvas PDF non vuoto
P0,documenti,passed,documento caricato;,globale:T-1561,"ui-documents QA: POST 200, nome file e stato Presente verificati"
P0,documenti,passed,documento eliminato;,globale:T-1562,ui-documents QA: conferma DELETE 200 e ritorno a Non ancora caricato
P0,documenti,passed,documento scaricato;,globale:T-1563,ui-documents QA: evento download e nome file documento-reale-10.pdf verificati
P0,documenti,passed,documento sostituito;,globale:T-1564,"ui-documents QA: 10 cicli sullo stesso tipo documento, ogni nuova versione aperta correttamente"
P0,documenti,passed,Eliminare documento.,globale:T-0481;usabilita:U0449,Playwright: eliminazione eseguita dal proprietario e confermata dal server; preview c90ec547; 2026-08-04
P0,documenti,passed,Eliminare il documento durante un download.,globale:T-0998,document-concurrency 18/18: GET e DELETE concorrenti terminano con record e media assenti
P0,documenti,pending,Eliminare un documento dal telefono B.,globale:T-0701,
P0,documenti,passed,eliminazione documento altrui;,globale:T-0734,extended-p0-documents: DELETE altrui 403
P0,documenti,passed,eliminazione documento proprio;,globale:T-0735,extended-p0-documents: DELETE proprio 200 e file rimosso
P0,documenti,pending,Errore durante sostituzione documento.,globale:T-1150,
P0,documenti,pending,Eseguire backup mentre vengono caricati documenti.,globale:T-1167,
P0,documenti,passed,Il Coordinatore controlla i documenti.,globale:T-1728,ui-documents QA: coordinatore apre dalla dashboard il PDF del viaggiatore
P0,documenti,passed,Impossibilità di vedere documenti altrui.,usabilita:U0650,extended-p0-documents: stato privato e media negati all’altro viaggiatore
P0,documenti,pending,la visualizzazione dei documenti sia separata dalla gestione dei ruoli;,addendum:A0381,
P0,documenti,pending,Misurare caricamento documento.,globale:T-0586,
P0,documenti,pending,Modificare document profile_id.,usabilita:U0574,
P0,documenti,pending,nessun contenuto completo del documento;,globale:T-1569,
P0,documenti,pending,nessuna funzione dichiarata nella documentazione sia assente dall’interfaccia;,addendum:A0019,
P0,documenti,passed,Non cancellare documenti o bozze senza conferma.,globale:T-0845,ui-documents QA: Annulla mantiene il PDF; solo la successiva conferma esegue DELETE
P0,documenti,pending,Non compromettere documenti e funzioni essenziali.,globale:T-1650,
P0,documenti,pending,non deve contenere documenti;,addendum:A0423,
P0,documenti,pending,non deve vedere documenti;,usabilita:U0027,
P0,documenti,pending,non esistono documenti;,addendum:A0301,
P0,documenti,pending,Non mostrare dati dei documenti nella notifica.,globale:T-1353,
P0,documenti,pending,Non mostrare numeri di passaporto.,globale:T-1354,
P0,documenti,passed,non riceve dati dei documenti;,addendum:A0143,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,documenti,passed,non riceve documenti;,addendum:A0148,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,documenti,pending,Non visualizzare documenti.,usabilita:U0363;usabilita:U0367,
P0,documenti,pending,Notifica per documento mancante o aggiornato.,globale:T-0084,
P0,documenti,pending,Ogni documento deve essere collegato a un profilo esistente.,globale:T-1016,
P0,documenti,passed,ogni Viaggiatore vede soltanto i propri documenti;,globale:T-0686,"extended-p0-documents: owner vede il file, secondo viaggiatore non vede record né media"
P0,documenti,passed,PDF nei documenti.,globale:T-0439,ui-documents QA mobile: 10 PDF reali renderizzati con PDF.js su Samsung e iPhone
P0,documenti,pending,"Preferenze separate per post, commenti, reazioni, documenti e posizione.",globale:T-0090,
P0,documenti,pending,protezione dei documenti;,globale:T-1796,
P0,documenti,passed,Prova di ripristino documentata.,globale:T-0639,verify-d1-backup: procedura ripetibile di ripristino documentata nel repository
P0,documenti,pending,quali profili hanno documenti;,addendum:A0355,
P0,documenti,passed,quanti documenti esistono;,addendum:A0354,Public private-state 401 and minimized state; authenticated remote QA 20/20; preview a4b05356; 2026-08-04
P0,documenti,passed,riceve soltanto i propri documenti;,addendum:A0150,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,documenti,passed,Scaricare documento.,globale:T-0485;usabilita:U0425,Playwright mobile: evento download ricevuto dopo comando Scarica; preview c90ec547; 2026-08-04
P0,documenti,passed,Sostituire contemporaneamente lo stesso documento da due telefoni.,globale:T-0799,document-concurrency 18/18: due upload concorrenti ordinati dal batch D1 atomico
P0,documenti,passed,Sostituire documento.,globale:T-0486;usabilita:U0428,ui-documents QA: sostituzione ripetuta del Passaporto con nuovo nome e contenuto apribile
P0,documenti,passed,Sostituire il documento.,globale:T-0706,ui-documents QA: nuovo PDF caricato sullo stesso slot dopo eliminazione
P0,documenti,passed,Sostituire più volte lo stesso documento.,globale:T-1000,ui-documents QA: dieci iterazioni consecutive sullo stesso slot Passaporto
P0,documenti,pending,Sostituzione documento durante il download.,globale:T-0573,
P0,documenti,pending,sostituzione documento;,usabilita:U0548,
P0,documenti,passed,Tentare clickjacking su Carica documento.,globale:T-1486,production-smoke live: pagina X-Frame-Options SAMEORIGIN e CSP frame-ancestors self; API frame-ancestors none
P0,documenti,pending,Tentare di aprire documenti.,usabilita:U0620;usabilita:U0635,
P0,documenti,passed,Tornare da un documento.,globale:T-0975,ui-documents QA mobile: Chiudi documento elimina l’overlay e ripristina la schermata documenti
P0,documenti,passed,trovare i propri documenti;,globale:T-1786,ui-documents QA ed extended-p0-documents: record proprio trovato nella scheda e nello stato privato
P0,documenti,pending,un documento indicato dal database non esiste nell’archivio;,addendum:A0306,
P0,documenti,pending,Un solo documento dopo dieci retry.,globale:T-0141,
P0,documenti,passed,un Viaggiatore può vedere documenti altrui;,usabilita:U0690,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,documenti,passed,Verifica documenti ripristinati.,globale:T-0643,verify-d1-backup: 14 documenti ripristinati e leggibili
P0,documenti,pending,Verificare apertura di ogni documento ripristinato.,globale:T-1170,
P0,documenti,pending,Verificare che i vecchi link ai documenti non funzionino.,globale:T-1326,
P0,documenti,pending,"Verificare che il Coordinatore possa moderare, se previsto.",usabilita:U0294,
P0,documenti,pending,Verificare che il dispositivo revocato non possa più aprire documenti.,globale:T-0767,
P0,documenti,passed,Verificare che il pubblico non veda documenti.,globale:T-0337,production-smoke: area documenti privata restituisce 401 al pubblico
P0,documenti,pending,"Verificare che non vi siano differenze tra itinerario, mappe e documenti.",globale:T-1269,
P0,documenti,passed,Verificare che rimanga un solo documento valido.,globale:T-0800,"document-concurrency 18/18: un solo record Passaporto, chiave corrente accessibile e precedente rimossa"
P0,documenti,pending,Verificare documenti corretti.,globale:T-1606,
P0,documenti,pending,Verificare documenti precedenti conservati.,globale:T-1032,
P0,documenti,passed,Verificare eliminazione dei documenti.,globale:T-1332,document-concurrency 18/18: record e media eliminati per tutti e quattro i tipi
P0,documenti,pending,Verificare impossibilità di aprire documenti già non disponibili offline.,globale:T-1620,
P0,documenti,pending,Verificare nessun documento nella cache del browser.,globale:T-0491,
P0,documenti,passed,Verificare nuovo documento.,usabilita:U0429,document-concurrency 18/18: nuova chiave PDF accessibile dopo sostituzione e diversa dalla precedente
P0,documenti,pending,Verificare quali documenti restano memorizzati.,globale:T-1630,
P0,documenti,passed,Verificare quattro documenti per persona.,usabilita:U0445,Playwright mobile: griglia del viaggiatore espone conteggio su quattro documenti e Passaporto nominativo; preview c90ec547; 2026-08-04
P0,documenti,passed,Viaggiatore A apre documento A.,usabilita:U0438,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,documenti,passed,Viaggiatore A tenta documento B: 403.,usabilita:U0439,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,documenti,passed,Viaggiatore A: impossibile aprire documento B.,globale:T-0493,extended-p0-documents: HEAD media di A dal token B non restituisce 200
P0,documenti,passed,Viaggiatore A: soltanto documenti A.,globale:T-0494,extended-p0-documents: /api/private del viaggiatore esclude i documenti dell’altro profilo
P0,mappe-posizione,pending,Eliminare automaticamente le posizioni non più necessarie.,globale:T-1346,
P0,mappe-posizione,pending,nessun tasto Elimina occupi la posizione normalmente usata da Annulla;,addendum:A0262,
P0,mappe-posizione,passed,Verifica posizioni ripristinate.,globale:T-0646,verify-d1-backup: posizione ripristinata
P0,mappe-posizione,passed,Verificare eliminazione della posizione.,globale:T-1334,"extended-p0-location: proprietario elimina, altri utenti non possono eliminare"
P0,mappe-posizione,passed,Verificare la posizione dal telefono del Coordinatore.,globale:T-0720,extended-p0-location: coordinatore e viaggiatore autenticato vedono la posizione condivisa
P0,media-upload,passed,Backup archivio MEDIA.,globale:T-0634,"KV QA reale: fixture esportata in binario nella cartella Manuale con SHA-256, eliminata, ripristinata e riletta byte per byte"
P0,media-upload,passed,"Coordinatore cambia ruolo, permessi aggiornati immediatamente.",usabilita:U0563,Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04
P0,media-upload,passed,"Eliminando un post, eliminare media, commenti e reazioni.",globale:T-1010,extended-p0-media-delete: cascata completa e stato pulito su tre viste
P0,media-upload,passed,Eliminare un post già caricato.,globale:T-1680,extended-p0-media-delete: post con tre media eliminato dal proprietario
P0,media-upload,passed,Interruzione del database durante un upload.,globale:T-1152,fault injection persistUploadPart: caduta D1 dopo KV elimina il frammento orfano; retry riuscito; percorso QA chunk 12/12
P0,media-upload,passed,Interruzione dell’archivio MEDIA dopo salvataggio del database.,globale:T-1153,fault injection persistUploadPart: caduta MEDIA non registra la parte; sessione D1 resta ripetibile; retry live QA riuscito
P0,media-upload,passed,Verifica media ripristinati.,globale:T-0645,"test-kv-media-backup-restore: 75 byte ripristinati, SHA-256 ce646339…c320d29 identico, fixture poi ripulita"
P0,media-upload,passed,Verificare che la dashboard del Coordinatore passi immediatamente a 3/4.,globale:T-0717,"ui-documents QA: due telefoni reali simulati, passaggio live 1/4→3/4 senza refresh su S20 FE, Samsung vecchio e iPhone piccolo"
P0,media-upload,passed,Verificare eliminazione degli audio.,usabilita:U0288,extended-p0-media-delete: MP3 non più raggiungibile dopo DELETE
P0,media-upload,passed,Verificare eliminazione dei video.,usabilita:U0287,extended-p0-media-delete: MP4 non più raggiungibile dopo DELETE
P0,media-upload,passed,Verificare eliminazione della vecchia fotografia.,globale:T-0358,"extended-p0-avatar-replacement: sostituzione reale su QA, nuova foto disponibile e vecchia chiave MEDIA non più raggiungibile"
P0,media-upload,passed,Verificare eliminazione delle fotografie.,usabilita:U0286,extended-p0-media-delete: JPEG non più raggiungibile dopo DELETE
P0,media-upload,passed,Verificare perdita immediata dei privilegi da Coordinatore.,globale:T-0771,extended-p0-roles: retrocessione live; il token già aperto perde immediatamente inviti e modifica profili
P0,media-upload,passed,Verificare scomparsa immediata dei comandi da Coordinatore.,addendum:A0097,Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04
P0,persistenza,pending,aggiorna il database;,usabilita:U0676,
P0,persistenza,pending,Applicare le migrazioni una alla volta.,globale:T-1026,
P0,persistenza,passed,assenza di perdita dati.,globale:T-1109,baseline D1 2026-08-05: conteggi produzione invariati prima/dopo
P0,persistenza,passed,Backup D1.,globale:T-0635,backup D1 pre-1.29.0 esportato e verificato
P0,persistenza,pending,Backup delle chiavi Push.,globale:T-0636,
P0,persistenza,pending,Backup delle configurazioni.,globale:T-0637,
P0,persistenza,passed,backup e ripristino;,globale:T-1791,backup e ripristino D1 verificati end-to-end
P0,persistenza,passed,backup eseguito;,globale:T-1749,backup eseguito con impronta SHA-256 verificata
P0,persistenza,pending,Backup non eseguito.,globale:T-1542,
P0,persistenza,pending,controlli database;,usabilita:U0715,
P0,persistenza,pending,controlli eventuale modifica del database.,addendum:A0208,
P0,persistenza,pending,Controllo database,usabilita:U0038,
P0,persistenza,pending,Creare un database dalla schema completa.,globale:T-1027,
P0,persistenza,pending,Creare un database partendo dalla prima versione.,globale:T-1028,
P0,persistenza,pending,database non disponibile;,usabilita:U0508,
P0,persistenza,passed,dati database prima e dopo;,globale:T-1246,"baseline D1 2026-08-05: 4 profili, 1 post, 2 documenti invariati"
P0,persistenza,pending,Eliminazione della subscription dal database quando l’utente le disattiva.,globale:T-0078,
P0,persistenza,pending,Errore database.,globale:T-1546,
P0,persistenza,pending,Eseguire backup mentre vengono creati post.,globale:T-1168,
P0,persistenza,passed,Eseguire backup prima di ogni migrazione di produzione.,globale:T-1029,backup D1 creato e verificato prima della migrazione 0013
P0,persistenza,passed,esistono backup e ripristino;,globale:T-0667,export D1 verificato e precedente backup ripristinato su SQLite temporaneo
P0,persistenza,passed,il database deve registrare il risultato;,addendum:A0030,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,persistenza,passed,il database non deve essere modificato;,addendum:A0034,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,persistenza,pending,il database non riceva valori non validi;,globale:T-1292,
P0,persistenza,pending,Interruzione del database dopo salvataggio del file.,globale:T-1151,
P0,persistenza,pending,Migrazione non riuscita.,globale:T-1550,
P0,persistenza,pending,nessun dato precedente ripristinato erroneamente.,usabilita:U0568,
P0,persistenza,passed,nessuna modifica al database;,usabilita:U0584,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,persistenza,pending,nessuna modifica nel database;,globale:T-0748,
P0,persistenza,pending,Non devono esistere riferimenti nel database a file mancanti.,globale:T-1013,
P0,persistenza,pending,"ogni requisito è collegato a tasto, API, database e test;",addendum:A0460,
P0,persistenza,pending,Preferiti salvati nel database.,globale:T-0266,
P0,persistenza,pending,Query database,globale:T-0287,
P0,persistenza,passed,Registrazione data e ora backup.,globale:T-0640,"backup D1 registrato con data, ora e impronta SHA-256"
P0,persistenza,passed,Ripristinare il backup in un ambiente vuoto.,globale:T-1169,verify-d1-backup: export importato in database temporaneo vuoto
P0,persistenza,passed,Ripristino in ambiente di prova.,globale:T-0641,verify-d1-backup: ripristino eseguito in database temporaneo vuoto
P0,persistenza,pending,tabella requisito → tasto → API → database → test;,addendum:A0480,
P0,persistenza,passed,test backup e ripristino;,usabilita:U0729,"backup pre-1.33 ripristinato in 1,925 s; export 1.37.19 con SHA-256 registrato"
P0,persistenza,pending,test del database;,globale:T-0015,
P0,persistenza,passed,test delle migrazioni;,globale:T-0018,"schema, colonne, 10 tabelle e 21 trigger confrontati su QA e produzione"
P0,persistenza,passed,ultimo backup;,globale:T-1767,"pre-migration-baseline-1.37.19-2026-08-05.sql, SHA-256 FF6250E9…6573"
P0,persistenza,pending,un file esiste nell’archivio ma non nel database.,addendum:A0307,
P0,persistenza,passed,Verifica integrità backup.,globale:T-0644,verify-d1-backup: PRAGMA integrity_check restituisce ok
P0,persistenza,passed,Verifica post ripristinati.,globale:T-0647,verify-d1-backup: 10 post ripristinati
P0,persistenza,pending,Verificare backup e politica di conservazione.,globale:T-1325,
P0,persistenza,pending,Verificare che i telefoni ricevano la versione ripristinata.,globale:T-1176,
P0,persistenza,passed,Verificare che ogni migrazione venga applicata una sola volta.,globale:T-1030,d1_migrations riallineato; Wrangler conferma nessuna migrazione pendente
P0,persistenza,passed,Verificare compatibilità del database.,globale:T-1178,schema richiesto e API health verificati dopo il baseline
P0,persistenza,passed,Verificare compatibilità delle migrazioni.,globale:T-1179,effetti di 14 migrazioni presenti prima del baseline
P0,persistenza,pending,Verificare comportamento con database temporaneamente non disponibile.,globale:T-1022,
P0,persistenza,pending,Verificare consistenza temporale del backup.,globale:T-1171,
P0,persistenza,passed,Verificare coordinate nel database.,usabilita:U0459,"Playwright mobile + API privata: 28.6139, 77.2090 salvate e restituite su due sessioni; preview 20382a40; 2026-08-04"
P0,persistenza,pending,Verificare day_index nel database.,usabilita:U0178,
P0,persistenza,pending,Verificare inserimento nel database.,usabilita:U0017,
P0,persistenza,passed,Verificare migrazione già applicata.,globale:T-1036,migrazioni già presenti registrate senza riesecuzione SQL
P0,persistenza,pending,Verificare migrazione interrotta.,globale:T-1037,
P0,persistenza,passed,Verificare ordine corretto delle migrazioni.,globale:T-1038,registro d1_migrations ordinato 1-14 e lista Wrangler vuota
P0,persistenza,pending,Verificare rollback della migrazione.,globale:T-1040,
P0,persistenza,pending,Verificare stabilità del database.,globale:T-0578,
P0,persistenza,passed,Viene eseguito un backup.,globale:T-1743,backup D1 pre-migrazione eseguito
P0,persistenza,passed,Viene eseguito un ripristino.,globale:T-1744,backup D1 ripristinato in ambiente temporaneo
P0,profili-ruoli,passed,Accedere come Coordinatore da altro dispositivo.,globale:T-1612,ui-role-live L1: invito coordinatore aperto su contesto mobile separato
P0,profili-ruoli,passed,Accedere come Coordinatore.,addendum:A0094,Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04
P0,profili-ruoli,pending,Aggiungere moderazione del Coordinatore.,globale:T-0056,
P0,profili-ruoli,pending,Aprire la Bacheca come Coordinatore.,usabilita:U0098,
P0,profili-ruoli,passed,Aprire vista Coordinatore.,usabilita:U0443,Playwright mobile con sessione coordinatore reale: dashboard visibile; preview c90ec547; 2026-08-04
P0,profili-ruoli,pending,Avvisare il Coordinatore in caso di abuso ripetuto.,globale:T-1052,
P0,profili-ruoli,passed,Cambiare il ruolo da Coordinatore a Viaggiatore.,globale:T-0755,extended-p0-roles: retrocessione immediata sul token già aperto
P0,profili-ruoli,pending,Commento come Coordinatore.,usabilita:U0298,
P0,profili-ruoli,pending,Controllare author_name e profile_id nel database.,usabilita:U0175,
P0,profili-ruoli,pending,Coordinatore,globale:T-0278;addendum:A0133;addendum:A0212,
P0,profili-ruoli,passed,Coordinatore sulla risorsa A;,addendum:A0108,P0 locale ruoli 18/18: post creato e rimosso con identità della sessione coordinatore
P0,profili-ruoli,pending,da Coordinatore a Pubblico;,addendum:A0086,
P0,profili-ruoli,passed,da Coordinatore a Viaggiatore;,addendum:A0084,extended-p0-roles: inviti negati immediatamente dopo retrocessione
P0,profili-ruoli,passed,da Viaggiatore a Coordinatore;,addendum:A0083,Playwright same-device identity switch 5/5; preview 39b1fb83; 2026-08-04
P0,profili-ruoli,pending,dashboard Coordinatore;,addendum:A0120,
P0,profili-ruoli,passed,il Coordinatore disponga soltanto dei poteri necessari;,addendum:A0380,extended-p0-roles: matrice operazioni coordinatore/viaggiatore verificata
P0,profili-ruoli,passed,Il Coordinatore non deve pubblicare accidentalmente come altro profilo.,usabilita:U0170,P0 locale ruoli 18/18: author_name falsificato ignorato e profile_id imposto dalla sessione coordinatore
P0,profili-ruoli,pending,Il Coordinatore revoca un dispositivo di prova.,globale:T-1729,
P0,profili-ruoli,passed,Impossibilità di diventare Coordinatore.,usabilita:U0651,extended-p0-roles: auto-promozione tramite PUT ignorata dal server
P0,profili-ruoli,passed,non deve accedere alle funzioni del Coordinatore.,usabilita:U0029,"extended-p0-roles: creazione profilo, modifica altrui e inviti tutti 403"
P0,profili-ruoli,passed,non mostrare temporaneamente tasti da Coordinatore a un Viaggiatore;,addendum:A0293,Playwright credential precedence 4/4; preview 06eec926; 2026-08-04
P0,profili-ruoli,passed,non riceve dati amministrativi del Coordinatore;,addendum:A0152,Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04
P0,profili-ruoli,passed,Promuovere l’utente a Coordinatore da un altro dispositivo.,addendum:A0090,Playwright live role/revoke 1/1; preview a4b05356; 2026-08-04
P0,profili-ruoli,pending,Revocare il dispositivo dal Coordinatore.,globale:T-0763,
P0,profili-ruoli,pending,Richiedere eliminazione del proprio profilo.,globale:T-1324,
P0,profili-ruoli,pending,se è Coordinatore;,addendum:A0430,
P0,profili-ruoli,passed,telefono A – Coordinatore;,globale:T-0301,P0 locale ruoli: sessione coordinatore separata su dispositivo A simulato e vincolata al relativo profilo
P0,profili-ruoli,passed,test come Coordinatore;,usabilita:U0722,P0 locale ruoli 18/18 più documenti/posizione: operazioni coordinatore eseguite con token dedicato
P0,profili-ruoli,pending,test del percorso completo del Coordinatore;,globale:T-1805,
P0,profili-ruoli,pending,Tornare a vista Coordinatore.,usabilita:U0454,
P0,profili-ruoli,passed,un profilo è stato eliminato;,addendum:A0305,profile-deletion 40/40: profilo assente dallo stato pubblico e da ogni risorsa privata dopo il DELETE
P0,profili-ruoli,passed,un utente può diventare Coordinatore modificando la richiesta;,usabilita:U0691,extended-p0-roles: tentativo falsificato resta traveler
P0,profili-ruoli,passed,Verifica profili ripristinati.,globale:T-0648,verify-d1-backup: 5 profili ripristinati
P0,profili-ruoli,pending,Verificare che il Coordinatore visualizzi 4/4.,globale:T-0710,
P0,profili-ruoli,pending,Verificare che il profilo non compaia nella dashboard del Coordinatore.,globale:T-1328,
P0,profili-ruoli,passed,Verificare che non possa diventare Coordinatore.,globale:T-0341,extended-p0-roles: sessione riletta dal server resta traveler
P0,profili-ruoli,pending,Verificare notifica prioritaria al Coordinatore.,globale:T-1193,
P0,profili-ruoli,pending,Verificare profile_id corretto nel database.,globale:T-0422,
P0,profili-ruoli,pending,Visualizzare contatto del Coordinatore.,globale:T-1196,
P0,social,passed,commento eliminato;,globale:T-1556,extended-p0-social: commenti di due autori eliminati e stato finale vuoto
P0,social,passed,Commento mentre il post viene eliminato.,globale:T-0570,extended-p0-sync-delete: corsa commento/eliminazione senza residui
P0,social,passed,Eliminare un commento mentre viene modificato da un altro dispositivo.,globale:T-0792,extended-p0-social: PUT/DELETE concorrenti gestiti senza residui
P0,social,passed,Eliminare un post mentre un altro utente sta inserendo un commento.,globale:T-0793,extended-p0-sync-delete: corsa DELETE post/POST commento senza residui
P0,social,passed,Eliminazione commento proprio.,usabilita:U0308,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,social,passed,Eliminazione commento.,globale:T-0465,extended-p0-social: proprietà server e DELETE verificate
P0,social,passed,Eseguire backup mentre vengono aggiunti commenti.,globale:T-1166,"extended-p0-backup-comments: export D1 reale concorrente a 8 commenti, backup leggibile e stato integro"
P0,social,passed,Impedire di modificare o eliminare commenti altrui.,globale:T-0064,QA 1.31.0: modifica ed eliminazione del commento altrui restituite 403
P0,social,passed,Tentativo di eliminare commento altrui.,globale:T-0471,QA 1.31.0: eliminazione commento altrui negata
P0,social,passed,Tentativo di eliminazione di commento altrui.,usabilita:U0310,Authenticated remote QA: 18/18 applicable; preview a018a091; 2026-08-04
P0,social,passed,"test di creazione, modifica ed eliminazione;",globale:T-0022,extended-p0-social: ciclo completo su due autori
P0,social,passed,Verifica commenti ripristinati.,globale:T-0642,verify-d1-backup: 8 commenti ripristinati e leggibili
P0,social,passed,Verificare eliminazione dei commenti.,usabilita:U0289,extended-p0-sync-delete: cascata verificata nello stato finale
P0,social,passed,Verificare eliminazione delle reazioni.,usabilita:U0290,extended-p0-sync-delete: cascata verificata nello stato finale
P0,sync-rete,passed,Chiave idempotente nel database.,globale:T-0133,production-smoke: chiave idempotente riutilizzata e risposta replayed
P0,sync-rete,passed,Sincronizzazione delle eliminazioni.,globale:T-0113,"extended-p0-sync-delete: assenza verificata su pubblico, proprietario e secondo dispositivo"
P0,sync-rete,passed,Verificare eliminazione della cache difettosa.,globale:T-1181,ui-p0-cache-recovery: cache corrotta rimossa e riapertura offline riuscita
P0,sync-rete,passed,Verificare eliminazione della vecchia cache.,globale:T-0840,"ui-p0-cache-recovery: cache 1.37.18 rimossa, resta soltanto 1.37.19"
P1,altro,pending,“Notifiche attive” significhi subscription registrata e prova ricevuta;,addendum:A0386,
P1,altro,pending,Aprire il pannello notifiche.,usabilita:U0056,
P1,altro,pending,Aprire la notifica.,globale:T-0516,
P1,altro,pending,Aprire una notifica.,usabilita:U0065,
P1,altro,pending,attivare le notifiche;,globale:T-1770,
