"id","section","control","status","evidence","revision"
"A0174","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","il caricamento impedisce una seconda operazione incompatibile;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0175","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","l’etichetta cambia in modo comprensibile;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0176","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","il tasto torna utilizzabile dopo un errore;","pending","","1.31.0"
"A0177","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","il tasto non rimane permanentemente bloccato;","pending","","1.31.0"
"A0178","A11. CONTRATTO DI FUNZIONAMENTO DI OGNI TASTO","il risultato corrisponde all’azione indicata.","passed","API pubblica minimizzata + Playwright tre telefoni: chiavi e ID interni assenti, permessi can_manage dal server, comandi vietati nascosti e sync automatica; preview c9d82d89; 2026-08-04","1.31.0"
"A0179","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","button senza onClick;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0180","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","onClick vuoti;","pending","","1.31.0"
"A0181","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","funzioni che non modificano nulla;","pending","","1.31.0"
"A0182","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","collegamenti con href vuoto;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0183","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","collegamenti con solo “#”;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0184","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","comandi che modificano soltanto lo stato grafico;","pending","","1.31.0"
"A0185","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","pulsanti che mostrano sempre un messaggio fisso;","pending","","1.31.0"
"A0186","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","comandi collegati a endpoint inesistenti;","pending","","1.31.0"
"A0187","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","endpoint mai utilizzati;","pending","","1.31.0"
"A0188","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","funzioni presenti soltanto come testo “verrà aggiunto”;","pending","","1.31.0"
"A0189","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","sezioni segnaposto;","pending","","1.31.0"
"A0190","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","icone presentate come pulsanti ma non cliccabili;","pending","","1.31.0"
"A0191","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","tasti coperti da altri elementi;","pending","","1.31.0"
"A0192","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","tasti fuori dallo schermo;","pending","","1.31.0"
"A0193","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","tasti visibili ma non raggiungibili da tastiera.","pending","","1.31.0"
"A0194","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","completato;","pending","","1.31.0"
"A0195","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","rimosso;","pending","","1.31.0"
"A0196","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","disabilitato con indicazione “Non ancora disponibile”;","pending","","1.31.0"
"A0197","A12. RILEVAMENTO DI TASTI MORTI O SIMULATI","documentato come funzione non completata.","pending","","1.31.0"
"A0198","A13. COPERTURA AUTOMATICA DEI TASTI","raccolga tutti i pulsanti;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0199","A13. COPERTURA AUTOMATICA DEI TASTI","raccolga tutti i collegamenti;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0200","A13. COPERTURA AUTOMATICA DEI TASTI","raccolga tutti gli input;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0201","A13. COPERTURA AUTOMATICA DEI TASTI","registri nome accessibile;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0202","A13. COPERTURA AUTOMATICA DEI TASTI","registri stato attivo/disabilitato;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0203","A13. COPERTURA AUTOMATICA DEI TASTI","esegua il clic;","pending","","1.31.0"
"A0204","A13. COPERTURA AUTOMATICA DEI TASTI","controlli errori JavaScript;","pending","","1.31.0"
"A0205","A13. COPERTURA AUTOMATICA DEI TASTI","controlli richieste di rete;","pending","","1.31.0"
"A0206","A13. COPERTURA AUTOMATICA DEI TASTI","controlli modifica della schermata;","pending","","1.31.0"
"A0207","A13. COPERTURA AUTOMATICA DEI TASTI","controlli risposta dell’API;","pending","","1.31.0"
"A0208","A13. COPERTURA AUTOMATICA DEI TASTI","controlli eventuale modifica del database.","pending","","1.31.0"
"A0209","A13. COPERTURA AUTOMATICA DEI TASTI","Pubblico;","pending","","1.31.0"
"A0210","A13. COPERTURA AUTOMATICA DEI TASTI","Familiare;","pending","","1.31.0"
"A0211","A13. COPERTURA AUTOMATICA DEI TASTI","Viaggiatore;","pending","","1.31.0"
"A0212","A13. COPERTURA AUTOMATICA DEI TASTI","Coordinatore;","pending","","1.31.0"
"A0213","A13. COPERTURA AUTOMATICA DEI TASTI","sessione scaduta;","pending","","1.31.0"
"A0214","A13. COPERTURA AUTOMATICA DEI TASTI","sessione revocata.","pending","","1.31.0"
"A0215","A13. COPERTURA AUTOMATICA DEI TASTI","un tasto non produce alcun risultato;","pending","","1.31.0"
"A0216","A13. COPERTURA AUTOMATICA DEI TASTI","un tasto genera errore console;","pending","","1.31.0"
"A0217","A13. COPERTURA AUTOMATICA DEI TASTI","un tasto autorizzato riceve 401 o 403;","pending","","1.31.0"
"A0218","A13. COPERTURA AUTOMATICA DEI TASTI","un tasto non autorizzato riceve successo;","pending","","1.31.0"
"A0219","A13. COPERTURA AUTOMATICA DEI TASTI","un clic produce più richieste identiche;","pending","","1.31.0"
"A0220","A13. COPERTURA AUTOMATICA DEI TASTI","la pagina diventa bianca;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0221","A13. COPERTURA AUTOMATICA DEI TASTI","l’interfaccia rimane bloccata.","pending","","1.31.0"
"A0222","A14. CONTROLLO DELLE AREE DI TOCCO","area effettiva di almeno 44×44 pixel;","pending","","1.31.0"
"A0223","A14. CONTROLLO DELLE AREE DI TOCCO","spazio sufficiente tra tasti vicini;","pending","","1.31.0"
"A0224","A14. CONTROLLO DELLE AREE DI TOCCO","nessun clic sul tasto adiacente;","pending","","1.31.0"
"A0225","A14. CONTROLLO DELLE AREE DI TOCCO","icona centrata;","pending","","1.31.0"
"A0226","A14. CONTROLLO DELLE AREE DI TOCCO","testo non sovrapposto;","pending","","1.31.0"
"A0227","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con pollice destro;","pending","","1.31.0"
"A0228","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con pollice sinistro;","pending","","1.31.0"
"A0229","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con una sola mano;","pending","","1.31.0"
"A0230","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con tastiera aperta;","pending","","1.31.0"
"A0231","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con barra del browser visibile;","pending","","1.31.0"
"A0232","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con PWA standalone;","pending","","1.31.0"
"A0233","A14. CONTROLLO DELLE AREE DI TOCCO","funzionamento con testo ingrandito.","pending","","1.31.0"
"A0234","A14. CONTROLLO DELLE AREE DI TOCCO","iPhone piccolo;","pending","","1.31.0"
"A0235","A14. CONTROLLO DELLE AREE DI TOCCO","iPhone Pro Max;","pending","","1.31.0"
"A0236","A14. CONTROLLO DELLE AREE DI TOCCO","Android piccolo;","pending","","1.31.0"
"A0237","A14. CONTROLLO DELLE AREE DI TOCCO","Android con caratteri ingranditi;","pending","","1.31.0"
"A0238","A14. CONTROLLO DELLE AREE DI TOCCO","tablet.","pending","","1.31.0"
"A0239","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","menu sopra il contenuto corretto;","pending","","1.31.0"
"A0240","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","menu non nascosto dietro la mappa;","pending","","1.31.0"
"A0241","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","finestra modale sopra la barra inferiore;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0242","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","pulsanti della modale sempre raggiungibili;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0243","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","contenuto sottostante non cliccabile mentre la modale è aperta;","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0244","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","chiusura toccando fuori, se prevista;","pending","","1.31.0"
"A0245","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","chiusura con tasto Indietro;","pending","","1.31.0"
"A0246","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","nessuna apertura contemporanea di due modali incompatibili;","pending","","1.31.0"
"A0247","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","nessun menu rimasto aperto cambiando sezione;","pending","","1.31.0"
"A0248","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","nessun popup della mappa sopra una conferma di sicurezza;","pending","","1.31.0"
"A0249","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","nessuna tastiera che nasconde Conferma o Pubblica;","pending","","1.31.0"
"A0250","A15. SOVRAPPOSIZIONE DI MENU E FINESTRE","scorrimento interno quando il contenuto della modale è lungo.","passed","Playwright Galaxy S9+: invito e sessione server, modale sopra barra, pulsante raggiungibile, stato disabilitato/invio, doppio clic=una richiesta, HTTP 201 e record confermato; preview 9913ac2c; 2026-08-04","1.31.0"
"A0251","A16. TEST DEI TASTI DISTRUTTIVI","usare un colore e un testo riconoscibili;","pending","","1.31.0"
"A0252","A16. TEST DEI TASTI DISTRUTTIVI","indicare esattamente cosa verrà eliminato;","pending","","1.31.0"
"A0253","A16. TEST DEI TASTI DISTRUTTIVI","richiedere conferma;","pending","","1.31.0"
"A0254","A16. TEST DEI TASTI DISTRUTTIVI","distinguere Annulla e Conferma;","pending","","1.31.0"
"A0255","A16. TEST DEI TASTI DISTRUTTIVI","impedire conferma accidentale tramite doppio tocco;","pending","","1.31.0"
"A0256","A16. TEST DEI TASTI DISTRUTTIVI","mostrare stato dell’operazione;","pending","","1.31.0"
"A0257","A16. TEST DEI TASTI DISTRUTTIVI","impedire chiusura ambigua durante l’esecuzione;","pending","","1.31.0"
"A0258","A16. TEST DEI TASTI DISTRUTTIVI","comunicare completamento;","pending","","1.31.0"
"A0259","A16. TEST DEI TASTI DISTRUTTIVI","aggiornare immediatamente tutte le schermate coinvolte;","pending","","1.31.0"
"A0260","A16. TEST DEI TASTI DISTRUTTIVI","verificare se esiste possibilità di recupero;","pending","","1.31.0"
"A0261","A16. TEST DEI TASTI DISTRUTTIVI","registrare l’operazione nel log.","pending","","1.31.0"
"A0262","A16. TEST DEI TASTI DISTRUTTIVI","nessun tasto Elimina occupi la posizione normalmente usata da Annulla;","pending","","1.31.0"
"A0263","A16. TEST DEI TASTI DISTRUTTIVI","nessuna pressione del tasto Indietro confermi l’eliminazione;","pending","","1.31.0"
"A0264","A16. TEST DEI TASTI DISTRUTTIVI","nessuna operazione venga eseguita due volte.","pending","","1.31.0"
"A0265","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","spiegare quale autorizzazione manca;","pending","","1.31.0"
"A0266","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non utilizzare soltanto “Errore”;","pending","","1.31.0"
"A0267","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non mostrare dettagli tecnici;","pending","","1.31.0"
"A0268","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non cancellare ciò che l’utente ha scritto;","pending","","1.31.0"
"A0269","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non perdere allegati selezionati;","pending","","1.31.0"
"A0270","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","offrire accesso o collegamento del profilo, se appropriato;","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0271","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","consentire di tornare alla schermata precedente;","pending","","1.31.0"
"A0272","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non entrare in un ciclo continuo di richieste;","pending","","1.31.0"
"A0273","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non ripetere automaticamente una richiesta vietata;","pending","","1.31.0"
"A0274","A17. TEST DELLE NEGAZIONI E DEL RECUPERO","non utilizzare la password comune per aggirare il rifiuto.","pending","","1.31.0"
"A0275","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","la vista pubblica deve cambiare soltanto la visualizzazione;","pending","","1.31.0"
"A0276","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","non deve cancellare la sessione personale;","pending","","1.31.0"
"A0277","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","non deve modificare il ruolo reale;","pending","","1.31.0"
"A0278","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","non deve consentire operazioni private mentre è attiva;","pending","","1.31.0"
"A0279","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","deve nascondere immediatamente documenti e posizioni;","pending","","1.31.0"
"A0280","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","deve nascondere tasti amministrativi;","pending","","1.31.0"
"A0281","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","tornando alla vista gruppo deve ricontrollare la sessione sul server;","pending","","1.31.0"
"A0282","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","una sessione scaduta durante l’anteprima non deve recuperare i privilegi;","pending","","1.31.0"
"A0283","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","l’URL pubblico non deve contenere token;","pending","","1.31.0"
"A0284","A18. TEST DELLA MODALITÀ ANTEPRIMA PUBBLICA","uno screenshot della vista pubblica non deve mostrare dati privati.","passed","Public-cache unit + delayed-state Playwright 6/6; preview 63b53987; 2026-08-04","1.31.0"
"A0285","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione iniziale;","pending","","1.31.0"
"A0286","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione dopo accesso;","pending","","1.31.0"
"A0287","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione dopo logout;","pending","","1.31.0"
"A0288","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione dopo cambio ruolo;","pending","","1.31.0"
"A0289","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione dopo revoca;","pending","","1.31.0"
"A0290","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione dopo caricamento dei dati;","pending","","1.31.0"
"A0291","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione quando l’API non risponde;","pending","","1.31.0"
"A0292","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","condizione quando la sessione è ancora in verifica.","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0293","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","non mostrare temporaneamente tasti da Coordinatore a un Viaggiatore;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0294","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","non mostrare temporaneamente documenti prima del controllo della sessione;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0295","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","utilizzare uno stato neutro di caricamento;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0296","A19. TEST DELLA VISIBILITÀ CONDIZIONALE DEI TASTI","non basarsi soltanto sui dati presenti nel localStorage.","passed","TypeScript JSX inventory: 115 interactive elements, zero missing handlers/empty links; Playwright credential flow","1.31.0"
"A0297","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","non esistono profili;","pending","","1.31.0"
"A0298","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","esiste un solo profilo;","pending","","1.31.0"
"A0299","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","non esistono post;","pending","","1.31.0"
"A0300","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","non esistono commenti;","pending","","1.31.0"
"A0301","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","non esistono documenti;","pending","","1.31.0"
"A0302","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","non esistono posizioni;","pending","","1.31.0"
"A0303","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","non esistono notifiche;","pending","","1.31.0"
"A0304","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","un contenuto è stato eliminato da un altro dispositivo;","pending","","1.31.0"
"A0305","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","un profilo è stato eliminato;","pending","","1.31.0"
"A0306","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","un documento indicato dal database non esiste nell’archivio;","pending","","1.31.0"
"A0307","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","un file esiste nell’archivio ma non nel database.","pending","","1.31.0"
"A0308","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","generare schermata bianca;","pending","","1.31.0"
"A0309","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","utilizzare identificativi vuoti;","pending","","1.31.0"
"A0310","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","creare dati appartenenti alla persona sbagliata;","pending","","1.31.0"
"A0311","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","rimanere bloccato;","pending","","1.31.0"
"A0312","A20. CONTROLLO DELLE FUNZIONI DIPENDENTI DAI DATI","mostrare dati precedenti come se fossero ancora validi.","pending","","1.31.0"
"A0313","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","quali tasti sono immediatamente disponibili;","pending","","1.31.0"
"A0314","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","quali tasti devono rimanere disabilitati;","pending","","1.31.0"
"A0315","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","presenza di indicatore di caricamento;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0316","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","impossibilità di agire su dati non ancora verificati;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0317","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","impossibilità di pubblicare con identità non ancora caricata;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0318","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","impossibilità di aprire documenti prima della verifica della sessione;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0319","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","impossibilità di utilizzare il ruolo conservato localmente come autorizzazione;","passed","Playwright credential precedence 4/4; preview 06eec926; 2026-08-04","1.31.0"
"A0320","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","possibilità di consultare contenuti pubblici già disponibili;","pending","","1.31.0"
"A0321","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","messaggio se il caricamento supera il tempo previsto;","pending","","1.31.0"
"A0322","A21. CONTROLLO DELLE FUNZIONI DURANTE IL CARICAMENTO INIZIALE","possibilità di riprovare.","pending","","1.31.0"
"A0323","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","catturare la richiesta;","pending","","1.31.0"
"A0324","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla identica;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0325","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla con identificativo modificato;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0326","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla con token differente;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0327","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla dopo logout;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0328","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla dopo revoca;","passed","Live revoke command 403 + authenticated remote QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0329","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla dopo cambio ruolo;","passed","Live demotion command 403 + authenticated remote QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0330","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","reinviarla dopo eliminazione della risorsa.","passed","Authenticated deleted-upload retry 404; preview a4b05356; 2026-08-04","1.31.0"
"A0331","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","nessun aumento dei privilegi;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0332","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","nessuna operazione duplicata;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0333","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","nessun utilizzo di autorizzazioni precedenti;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0334","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","risposta coerente 401, 403, 404 o 409;","passed","Authenticated remote QA + mobile publication; preview a018a091; 2026-08-04","1.31.0"
"A0335","A22. TEST DELLE RICHIESTE RIPETUTE DAL BROWSER","nessuna informazione sull’esistenza di risorse non autorizzate.","pending","","1.31.0"
"A0336","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Memorizzare un vecchio token prima dell’accesso.","pending","","1.31.0"
"A0337","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Accedere tramite invito personale.","pending","","1.31.0"
"A0338","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Verificare emissione di un nuovo token.","pending","","1.31.0"
"A0339","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Verificare invalidazione dell’eventuale token temporaneo precedente.","pending","","1.31.0"
"A0340","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Eseguire logout e nuovo accesso.","pending","","1.31.0"
"A0341","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Verificare token differente.","pending","","1.31.0"
"A0342","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Cambiare ruolo e rinnovare la sessione.","pending","","1.31.0"
"A0343","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Verificare aggiornamento delle autorizzazioni.","pending","","1.31.0"
"A0344","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Non accettare token impostati manualmente dal client.","passed","Playwright false-token removal + remote session QA; preview a4b05356; 2026-08-04","1.31.0"
"A0345","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Non riutilizzare token già revocati.","passed","Live revoke command 403 + authenticated remote QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0346","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Non inserire token in query string.","passed","Playwright invite URL cleanup and persisted session without URL token; preview a4b05356; 2026-08-04","1.31.0"
"A0347","A23. TEST DI SESSION FIXATION E SOSTITUZIONE DEL TOKEN","Non registrare token nei log.","pending","","1.31.0"
"A0348","A24. TEST DI ENUMERAZIONE DELLE RISORSE","progressivi;","pending","","1.31.0"
"A0349","A24. TEST DI ENUMERAZIONE DELLE RISORSE","casuali;","pending","","1.31.0"
"A0350","A24. TEST DI ENUMERAZIONE DELLE RISORSE","appartenenti a un altro utente;","passed","Authenticated cross-owner QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0351","A24. TEST DI ENUMERAZIONE DELLE RISORSE","inesistenti;","passed","Authenticated random/missing resource QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0352","A24. TEST DI ENUMERAZIONE DELLE RISORSE","eliminati;","passed","Authenticated deleted-upload retry 404; preview a4b05356; 2026-08-04","1.31.0"
"A0353","A24. TEST DI ENUMERAZIONE DELLE RISORSE","malformati.","pending","","1.31.0"
"A0354","A24. TEST DI ENUMERAZIONE DELLE RISORSE","quanti documenti esistono;","passed","Public private-state 401 and minimized state; authenticated remote QA 20/20; preview a4b05356; 2026-08-04","1.31.0"
"A0355","A24. TEST DI ENUMERAZIONE DELLE RISORSE","quali profili hanno documenti;","pending","","1.31.0"
"A0356","A24. TEST DI ENUMERAZIONE DELLE RISORSE","quali utenti hanno condiviso la posizione;","pending","","1.31.0"
"A0357","A24. TEST DI ENUMERAZIONE DELLE RISORSE","quali inviti esistono;","pending","","1.31.0"
"A0358","A24. TEST DI ENUMERAZIONE DELLE RISORSE","quali sessioni sono attive;","pending","","1.31.0"
"A0359","A24. TEST DI ENUMERAZIONE DELLE RISORSE","quali contenuti privati esistono.","pending","","1.31.0"
"A0360","A25. CONTROLLO DELLE APPROVAZIONI SPECIFICHE","separato dall’accesso al gruppo;","pending","","1.31.0"
"A0361","A25. CONTROLLO DELLE APPROVAZIONI SPECIFICHE","revocabile;","pending","","1.31.0"
"A0362","A25. CONTROLLO DELLE APPROVAZIONI SPECIFICHE","limitato nel tempo;","pending","","1.31.0"
"A0363","A25. CONTROLLO DELLE APPROVAZIONI SPECIFICHE","comprensibile.","pending","","1.31.0"
"A0364","A25. CONTROLLO DELLE APPROVAZIONI SPECIFICHE","richiesto dopo un’azione volontaria;","pending","","1.31.0"
